id,street_id,peg_code,beast_name,beast_source,sensory_channel,is_smashed,sort_order
BEAST_ENGLISH_11_AR,STREET_ENGLISH_11,Ar,armadillo,,,0,4
BEAST_ENGLISH_11_AS,STREET_ENGLISH_11,As,asp,,,0,5
BEAST_ENGLISH_12_AT,STREET_ENGLISH_12,At,atlas,,,0,1
BEAST_ENGLISH_12_AU,STREET_ENGLISH_12,Au,auroch,,,0,2
BEAST_ENGLISH_12_AV,STREET_ENGLISH_12,Av,avocet,,,0,3
BEAST_ENGLISH_12_AW,STREET_ENGLISH_12,Aw,awassi sheep,,,0,4
BEAST_ENGLISH_12_AX,STREET_ENGLISH_12,Ax,axolotl,,,0,5
BEAST_ENGLISH_13_AY,STREET_ENGLISH_13,Ay,aye-aye,,,0,1
BEAST_ENGLISH_13_AZ,STREET_ENGLISH_13,Az,Aztec,,,0,2
BEAST_ENGLISH_13_BA,STREET_ENGLISH_13,Ba,bat,,,0,3
BEAST_ENGLISH_13_BB,STREET_ENGLISH_13,Bb,Brass bison,,,0,4
BEAST_ENGLISH_13_BE,STREET_ENGLISH_13,Be,bee,,,0,5
BEAST_ENGLISH_14_BF,STREET_ENGLISH_14,Bf,Blackwater ferret,,,0,1
BEAST_ENGLISH_14_BG,STREET_ENGLISH_14,Bg,Boulder giraffe,,,0,2
BEAST_ENGLISH_15_BH,STREET_ENGLISH_15,Bh,Bitter hare,,,0,1
BEAST_ENGLISH_15_BI,STREET_ENGLISH_15,Bi,bison,,,0,2
BEAST_ENGLISH_15_BJ,STREET_ENGLISH_15,Bj,Basil jellyfish,,,0,3
BEAST_ENGLISH_15_BK,STREET_ENGLISH_15,Bk,Bloodmoon kestrel,,,0,4
BEAST_ENGLISH_16_BL,STREET_ENGLISH_16,Bl,bloodhound,,,0,1
BEAST_ENGLISH_16_BM,STREET_ENGLISH_16,Bm,Bone marmoset,,,0,2
BEAST_ENGLISH_16_BN,STREET_ENGLISH_16,Bn,Blazing nightjar,,,0,3
BEAST_ENGLISH_16_BO,STREET_ENGLISH_16,Bo,bower-bird,,,0,4
BEAST_ENGLISH_16_BP,STREET_ENGLISH_16,Bp,Blackwater penguin,,,0,5
BEAST_ENGLISH_17_BQ,STREET_ENGLISH_17,Bq,Boulder quail,,,0,1
BEAST_ENGLISH_17_BR,STREET_ENGLISH_17,Br,brontosaurus,,,0,2
BEAST_ENGLISH_18_BS,STREET_ENGLISH_18,Bs,Bone Shark,,,0,1
BEAST_ENGLISH_18_BT,STREET_ENGLISH_18,Bt,Bone Toad,,,0,2
BEAST_ENGLISH_18_BU,STREET_ENGLISH_18,Bu,butterfly,,,0,3
